"DISTRICT_ID_61","election_year","STATE","seatnum","rd_INC_iv","rd_INC_seatprop","rd_INC_closeprop","rd_INC_seatnum","rd_INC_closenum","rd_INC_ivnum","rd_BJP_BJS_iv","rd_BJP_BJS_seatprop","rd_BJP_BJS_closeprop","rd_INC2_iv","rd_INC2_seatprop","rd_INC2_closeprop","rd_INC2_seatnum","rd_INC2_closenum","rd_INC2_ivnum","rd_INC3_iv","rd_INC3_seatprop","rd_INC3_closeprop","rd_INC3_seatnum","rd_INC3_closenum","rd_INC3_ivnum","COUNT","CASUALTIES","RIOTDAYS","COUNT_1yr","CASUALTIES_1yr","RIOTDAYS_1yr","COUNT.bin","COUNT.bin_1yr","muslim_prop","muslim_high","CM_INC","INC_dist_votes","BJP_BJS_dist_votes","total_votes","registered_voters","INC_voteshare","BJP_voteshare","Turnout","saturated","saturated2","saturated3","WEST_BENGALtrend","ANDHRA_PRADESHtrend","UTTAR_PRADESHtrend","GUJARATtrend","MAHARASHTRAtrend","RAJASTHANtrend","KERALAtrend","PUNJABtrend","MADHYA_PRADESHtrend","ORISSAtrend","KARNATAKAtrend","BIHARtrend","ASSAMtrend","HIMACHAL_PRADESHtrend","TAMIL_NADUtrend","HARYANAtrend","ARUNACHAL_PRADESHtrend","election_cycle","COUNT_1ec","CASUALTIES_1ec","RIOTDAYS_1ec","COUNT.bin_1ec","INC_voteshare_1ec","BJP_voteshare_1ec","Turnout_1ec","rd_INC_seatprop_1ec","rd_BJP_BJS_seatprop_1ec","log.COUNT","log.CASUALTIES","log.RIOTDAYS","ENP"
"174",1985,"ORISSA",15,0,0.8,0,12,0,0,0,0,0,0,0.8,0,12,0,0,0,0.8,0,12,0,0,0,0,0,0,0,0,0,0,0.00203865389664553,0,1,453680,4105,856616,1559806.18387427,0.529618872400235,0.00479211221831019,0.549181051374168,"0:15","0:15","0:15",0,0,0,0,0,0,0,0,0,1985,0,0,0,0,0,0,0,"7",0,0,0,0,0.450696554609744,0,0.50789660264824,0.666666666666667,0,-4.60517018598809,-4.60517018598809,-4.60517018598809,2.23331052990468
"174",1990,"ORISSA",15,0,0.0666666666666667,0,1,0,0,0,0,0,0,0.0666666666666667,0,1,0,0,0,0.0666666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0.00255416359056897,0,0,350655,18007,1103689,2021542.24600172,0.317711782938853,0.0163152844687226,0.54596385615137,"0:15","0:15","0:15",0,0,0,0,0,0,0,0,0,1990,0,0,0,0,0,0,0,"8",0,0,0,0,0.529618872400235,0.00479211221831019,0.549181051374168,0.8,0,-4.60517018598809,-4.60517018598809,-4.60517018598809,2.07035740319096
"174",1995,"ORISSA",15,0,0.333333333333333,0.0666666666666667,5,1,0,0,0.0666666666666667,0,0,0.333333333333333,0,5,0,0,0,0.333333333333333,0.0666666666666667,5,1,0,1,0,1,0,0,0,1,0,0.00255416359056897,0,1,467999,84584,1468610,2235189.82664389,0.318667992183085,0.0575945962508767,0.657040392048088,"1:15","0:15","1:15",0,0,0,0,0,0,0,0,0,1995,0,0,0,0,0,0,0,"9",0,0,0,0,0.317711782938853,0.0163152844687226,0.54596385615137,0.0666666666666667,0,0.00995033085316809,-4.60517018598809,0.00995033085316809,3.05157752567188
"174",2000,"ORISSA",15,0,0.266666666666667,0,4,0,0,0,0.0666666666666667,0,0,0.266666666666667,0,4,0,0,0,0.266666666666667,0,4,0,0,0,0,0,1,0,1,0,1,0.00255416359056897,0,0,456320,134621,1351080,2491770,0.337744619119519,0.0996395476211623,0.542216978292539,"0:15","0:15","0:15",0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,"10",1,0,1,1,0.318667992183085,0.0575945962508767,0.657040392048088,0.333333333333333,0.0666666666666667,-4.60517018598809,-4.60517018598809,-4.60517018598809,2.35161945919194
"176",1962,"ASSAM",4,0,0.25,0,1,0,0,0,0,0,0,0.25,0,1,0,0,0,0.25,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,1,16752,0,48333,123104,0.346595493762026,0,0.392619248765272,"0:4","0:4","0:4",0,0,0,0,0,0,0,0,0,0,0,0,1962,0,0,0,0,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.60517018598809,-4.60517018598809,-4.60517018598809,2.18140381282558
"176",1967,"ASSAM",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,19095,0,64159,144825,0.297619975373681,0,0.44301052994994,"0:4","0:4","0:4",0,0,0,0,0,0,0,0,0,0,0,0,1967,0,0,0,0,"2",0,0,0,0,0.346595493762026,0,0.392619248765272,0.25,0,-4.60517018598809,-4.60517018598809,-4.60517018598809,2.01512085112781
"178",1962,"BIHAR",25,0.04,0.64,0.04,16,1,1,0,0,0,0,0.64,0,16,0,0,0.04,0.64,0.04,16,1,1,0,0,0,0,0,0,0,0,0.104545643993957,1,1,329111,0,761948,1666582,0.431933675263929,0,0.457192025354888,"1:25","0:25","1:25",0,0,0,0,0,0,0,0,0,0,0,1962,0,0,0,0,0,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.60517018598809,-4.60517018598809,-4.60517018598809,2.88902090449319
"178",1967,"BIHAR",25,0.04,0.48,0.08,12,2,1,0,0.04,0.04,0.04,0.48,0.04,12,1,1,0,0.48,0.04,12,1,0,0,0,0,0,0,0,0,0,0.104545643993957,1,0,355412,106085,1049560,2274881,0.338629520942109,0.101075688860094,0.461369188102586,"2:25","1:25","1:25",0,0,0,0,0,0,0,0,0,0,0,1967,0,0,0,0,0,"2",0,0,0,0,0.431933675263929,0,0.457192025354888,0.64,0,-4.60517018598809,-4.60517018598809,-4.60517018598809,3.64119188608793
"178",1969,"BIHAR",25,0,0.2,0,5,0,0,0,0.24,0,0,0.2,0,5,0,0,0,0.2,0,5,0,0,0,0,0,0,0,0,0,0,0.104545643993957,1,1,359947,215279,1280601,2406376,0.281076619493503,0.168107786890686,0.532169951827977,"0:25","0:25","0:25",0,0,0,0,0,0,0,0,0,0,0,1969,0,0,0,0,0,"3",0,0,0,0,0.338629520942109,0.101075688860094,0.461369188102586,0.48,0.04,-4.60517018598809,-4.60517018598809,-4.60517018598809,3.66974358217707
"178",1972,"BIHAR",25,0,0.48,0,12,0,0,0,0,0,0,0.48,0,12,0,0,0,0.48,0,12,0,0,0,0,0,0,0,0,0,0,0.104545643993957,1,1,394721,154961,1462470,2817425,0.269900237269824,0.105958412822143,0.519080365936981,"0:25","0:25","0:25",0,0,0,0,0,0,0,0,0,0,0,1972,0,0,0,0,0,"4",0,0,0,0,0.281076619493503,0.168107786890686,0.532169951827977,0.2,0.24,-4.60517018598809,-4.60517018598809,-4.60517018598809,3.1031245807442
